id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
463343,Zheleznogorsk,RU,52.33,35.37,33.4,33.4,33.4,92.0,100,5.48
1507116,Dudinka,RU,69.41,86.18,8.6,8.6,8.6,84.0,52,2.24
80509,Al Bardīyah,LY,31.76,25.09,67.93,67.93,67.93,76.0,6,9.57
86049,Jalu,LY,29.03,21.55,65.62,65.62,65.62,63.0,0,10.56
1566559,Tay Ninh,VN,11.3,106.1,80.47,80.47,80.47,86.0,99,5.3
556268,Ostrovnoy,RU,68.05,39.51,36.77,36.77,36.77,81.0,100,13.11
6171633,Ucluelet,CA,48.93,-125.55,52.57,53.01,51.8,87.0,40,6.93
1626703,Soe,ID,-9.86,124.28,87.48,87.48,87.48,34.0,39,8.23
2439376,Tahoua,NE,14.89,5.27,85.24,85.24,85.24,15.0,0,6.2
5359864,Isla Vista,US,34.41,-119.86,62.26,63.0,61.0,82.0,90,3.36
582447,Almaznyy,RU,48.04,40.05,32.0,32.0,32.0,83.0,0,6.71
2172797,Cairns,AU,-16.92,145.77,87.01,88.0,86.0,55.0,0,10.29
3836873,San Miguel de Tucumán,AR,-26.82,-65.22,62.6,62.6,62.6,93.0,90,6.93
545728,Komsomol'skiy,RU,43.98,46.7,55.71,55.71,55.71,63.0,98,5.08
135423,Shahrud,IR,36.42,54.98,51.3,51.3,51.3,45.0,0,2.82
3466980,Caravelas,BR,-17.71,-39.25,73.0,73.0,73.0,93.0,100,1.39
3899539,Antofagasta,CL,-23.65,-70.4,59.0,59.0,59.0,82.0,75,3.36
2015179,Tommot,RU,58.96,126.29,27.63,27.63,27.63,96.0,100,5.57
6167817,Torbay,CA,47.67,-52.73,57.76,59.0,57.0,93.0,75,19.46
1276615,Begūn,IN,24.98,75.0,74.82,74.82,74.82,40.0,0,3.47
5861897,Fairbanks,US,64.84,-147.72,21.67,23.0,19.99,85.0,90,0.96
3625710,Upata,VE,8.01,-62.4,82.99,82.99,82.99,80.0,90,1.99
3372760,Praia da Vitória,PT,38.73,-27.07,60.01,60.8,59.0,72.0,40,24.96
1151464,Phang Nga,TH,8.45,98.53,82.94,84.2,80.6,74.0,20,3.36
64814,Bandarbeyla,SO,9.49,50.81,78.37,78.37,78.37,68.0,0,7.83
1047660,Cuamba,MZ,-14.8,36.54,75.0,75.0,75.0,49.0,14,6.31
3445026,Vila Velha,BR,-20.33,-40.29,69.8,69.8,69.8,94.0,75,5.82
5052916,Willmar,US,45.12,-95.04,32.23,33.8,30.99,99.0,90,4.7
110690,Abhā,SA,18.22,42.51,54.45,55.4,53.6,25.0,0,6.93
352628,Maţāy,EG,28.42,30.78,70.09,70.09,70.09,74.0,0,12.5
286245,Sur,OM,22.57,59.53,72.57,72.57,72.57,66.0,0,4.72
5905393,Bonavista,CA,48.65,-53.11,55.0,55.0,55.0,80.0,100,5.01
5947866,Elliot Lake,CA,46.38,-82.63,41.0,41.0,41.0,83.0,90,6.93
8010683,Porto Santo,PT,33.07,-16.34,64.4,64.4,64.4,88.0,40,12.75
1640576,Kefamenanu,ID,-9.45,124.48,92.26,92.26,92.26,30.0,91,7.34
3932145,Pisco,PE,-13.7,-76.22,63.19,64.0,62.6,82.0,2,12.75
2729907,Longyearbyen,SJ,78.22,15.64,26.6,26.6,26.6,68.0,40,6.93
5983720,Iqaluit,CA,63.75,-68.51,30.09,30.2,30.0,80.0,75,16.11
3374083,Bathsheba,BB,13.22,-59.52,82.4,82.4,82.4,78.0,40,8.05
1504382,Kargasok,RU,59.06,80.86,40.93,40.93,40.93,93.0,100,11.3
